Date,Prices,Generation forecast,System load forecast
2011-01-09 00:00:00,9.26166941614498,1355.57157193676,1985.35555602498
2011-01-09 01:00:00,5.09633299579562,1548.50518197501,1772.44414720038
2011-01-09 02:00:00,3.27247404030623,1093.58349533922,830.912725775989
2011-01-09 03:00:00,0.579025836793224,186.848536293581,-497.740802664082
2011-01-09 04:00:00,-4.32704054112579,-831.93933222811,-1818.987895849
2011-01-09 05:00:00,-9.28748125043633,-1617.41408103127,-2782.37333735601
2011-01-09 06:00:00,-11.356850797301,-1902.98128990914,-3108.58778767124
2011-01-09 07:00:00,-9.75999361436774,-1587.83736097723,-2660.55979628203
2011-01-09 08:00:00,-4.99627422372992,-773.967996586253,-1566.96190516013
2011-01-09 09:00:00,1.24816680080572,258.686247572687,-137.89985946802
2011-01-09 10:00:00,6.36942504983044,1120.18908883359,1191.24634425794
2011-01-09 11:00:00,10.3630100557158,1448.12353573644,1989.71272854585
2011-01-09 12:00:00,10.6583835148048,1089.32029748505,1895.70780881621
2011-01-09 13:00:00,6.52393532471625,218.031003578835,900.761738830936
2011-01-09 14:00:00,-2.23960855647406,-758.867778745571,-580.109299270148
2011-01-09 15:00:00,-13.3720127363609,-1346.38337034451,-1896.06510930205
2011-01-09 16:00:00,-19.8400088172661,-1188.12352478888,-2380.6468802098
2011-01-09 17:00:00,-14.5200644160248,-374.928402913741,-1749.72235415604
2011-01-09 18:00:00,-0.517862174485841,618.616428931941,-287.196519086168
2011-01-09 19:00:00,11.6090631298333,1329.12397879698,1392.63379043349
2011-01-09 20:00:00,17.732262864364,1512.00381754224,2703.14696347807
2011-01-09 21:00:00,17.0775207388951,1282.99906148074,3284.69740276804
2011-01-09 22:00:00,12.9145161529582,875.953447858213,3111.01981130422
2011-01-09 23:00:00,8.03094330546849,465.978712379871,2372.85624130744
2011-01-10 00:00:00,1.83511056015611,51.1845703930843,1287.53551444704
2011-01-10 01:00:00,-5.61837173808562,-514.271010062102,-100.634859711858
2011-01-10 02:00:00,-12.5011147274488,-1266.45359591476,-1737.23257639293
2011-01-10 03:00:00,-16.1898832917751,-1931.50250889412,-3199.39557353606
2011-01-10 04:00:00,-15.5540963769641,-2123.94716151988,-3928.54420655435
2011-01-10 05:00:00,-11.6573020622588,-1562.69197849442,-3528.61480983045
2011-01-10 06:00:00,-5.79266441313049,-292.511085028162,-1929.06547360435
