Date,Prices, Generation forecast, System load forecast
2011-01-09 00:00:00,-7.120091258,-1903.005092,-2822.837132
2011-01-09 01:00:00,-7.149589898,-1860.496634,-2788.006043
2011-01-09 02:00:00,-7.164881203,-1813.775853,-2745.560561
2011-01-09 03:00:00,-7.165490079,-1762.793349,-2695.38727
2011-01-09 04:00:00,-7.151193952,-1707.536707,-2637.439523
2011-01-09 05:00:00,-7.122219725,-1648.040203,-2571.727613
2011-01-09 06:00:00,-7.079062664,-1584.373868,-2498.312132
2011-01-09 07:00:00,-7.022223708,-1516.633696,-2417.311992
2011-01-09 08:00:00,-6.951904185,-1444.939646,-2328.893843
2011-01-09 09:00:00,-6.868016308,-1369.430514,-2233.260264
2011-01-09 10:00:00,-6.77045261,-1290.259306,-2130.649386
2011-01-09 11:00:00,-6.659214272,-1207.590769,-2021.334989
2011-01-09 12:00:00,-6.534250515,-1121.603129,-1905.610451
2011-01-09 13:00:00,-6.395470751,-1032.484812,-1783.775105
2011-01-09 14:00:00,-6.242875845,-940.4266244,-1656.133866
2011-01-09 15:00:00,-6.076645973,-845.6194539,-1523.007554
2011-01-09 16:00:00,-5.897217799,-748.2540189,-1384.722252
2011-01-09 17:00:00,-5.70516696,-648.5212646,-1241.604835
2011-01-09 18:00:00,-5.50113572,-546.6139015,-1093.98453
2011-01-09 19:00:00,-5.285671885,-442.7250792,-942.1905361
2011-01-09 20:00:00,-5.059183413,-337.0478958,-786.5514443
2011-01-09 21:00:00,-4.822076268,-229.7754808,-627.3958312
2011-01-09 22:00:00,-4.574807594,-121.1009745,-465.0524332
2011-01-09 23:00:00,-4.318117101,-11.21751625,-299.850045
2011-01-10 00:00:00,-4.052837521,99.68176433,-132.1174737
2011-01-10 01:00:00,-3.779833438,211.40374,37.81647256
2011-01-10 02:00:00,-3.500005084,323.7552835,209.6230016
2011-01-10 03:00:00,-3.214241598,436.543274,382.9733254
2011-01-10 04:00:00,-2.923455041,549.5746167,557.5386557
2011-01-10 05:00:00,-2.628581408,662.6560244,732.9902045
2011-01-10 06:00:00,-2.330472494,775.5937479,908.9991831
2011-01-10 07:00:00,-2.030006891,888.1954245,1085.236808
